model,overall_mae,overall_rmse,critical_mae,critical_rmse,critical_mean_error,critical_overprediction_rate,critical_mean_overprediction,critical_maximum_overprediction,critical_severe_overprediction_rate
Dummy median,40.79435348510742,52.496351714756095,93.30188751220703,93.50300275091436,93.30188751220703,1.0,93.30188751220703,102.0,1.0
Random Forest — final timestep,14.376159819160828,19.62851003893084,8.686572248331682,12.235089325044148,7.366978339794376,0.8301886792452831,9.668615695121375,43.86023941798939,0.20754716981132076
Safety-aware LSTM — 30 timesteps,10.486841201782227,14.991178843414362,3.847743272781372,4.983574590722401,1.5341227054595947,0.7169811320754716,3.753143787384033,12.960765838623047,0.018867924528301886
Boosted tree — final timestep,14.338394262710827,19.426555034962348,8.37940692218873,11.366105633941274,6.007597418416961,0.7547169811320755,9.53139037565127,38.79275553855981,0.2830188679245283
Baseline asymmetric LSTM — 30 timesteps,11.047420501708984,15.452735949981276,5.392929553985596,6.595952104698795,3.8495137691497803,0.7547169811320755,6.123117923736572,15.858783721923828,0.1509433962264151
