seed,model,best_epoch,overall_mae,overall_rmse,critical_mae,critical_rmse,critical_mean_error,critical_overprediction_rate,critical_mean_overprediction,critical_maximum_overprediction,critical_severe_overprediction_rate
7,Baseline,8,12.280172348022461,17.62937321077206,4.768935680389404,6.354743339343891,0.55156076,0.587741935483871,4.5262184,28.1027,0.04709677419354839
7,Safety-aware,8,12.249885559082031,17.435233457647083,3.909451961517334,5.510158866904419,-0.91240084,0.4432258064516129,3.3809526,28.892208,0.025161290322580646
42,Baseline,8,12.758403778076172,17.72768837323676,4.530731678009033,5.888406269922126,1.4170774,0.6593548387096774,4.5103245,27.328629,0.04387096774193548
42,Safety-aware,8,12.7468900680542,18.49307121224942,3.679379463195801,5.235184974062185,-1.368195,0.4341935483870968,2.6614676,24.983387,0.017419354838709676
123,Baseline,8,12.672636985778809,18.14783969769844,3.883911609649658,4.988971181548094,0.46908692,0.5490322580645162,3.9642465,20.79639,0.023225806451612905
123,Safety-aware,7,12.72726058959961,17.95303660770233,4.005873203277588,5.8633206116475245,-1.1487327,0.42193548387096774,3.3857553,31.219498,0.02129032258064516
202,Baseline,7,12.513172149658203,17.743718284909136,4.759761810302734,6.572673069651158,0.34907338,0.5245161290322581,4.8700457,38.930367,0.06
202,Safety-aware,9,12.091642379760742,17.494499868094703,4.4376702308654785,6.230393134827204,-0.7815978,0.4967741935483871,3.6798136,38.555267,0.025806451612903226
999,Baseline,7,12.60898208618164,18.025512417137843,4.592257499694824,5.735040527306979,2.4043894,0.7232258064516129,4.837111,23.839699,0.04903225806451613
999,Safety-aware,9,11.935157775878906,17.512398823371633,3.8817591667175293,5.21900455059636,-0.27773112,0.4935483870967742,3.6511393,37.170197,0.02903225806451613
